Code,Name,Manufacturer,Part Number,Product Group Description,Stock Unit Name,Cost Price,Sales Price (£),Sales Price (€),Margin,,DMI Sales Price (€),Variance,DMI URL,,DentalSky Sales Price (£),Variance,DentalSky URL,,Dontalia Sales Price (€),Variance,Dontalia URL,,DMI Sales Price (£),Variance,DMI URL
CAW384,Schulke Mikrozid Jumbo Wipes Refill (70002981) - Pack220,Schulke,70002981,"CLEANING, STERILIZING PRODUCTS",Pack (220),£6.43,£12.70,€14.73,49.4%,,€15.82,-6.9%,https://www.dmi.ie/products/mikrozid-alcohol-jumbo-wipes-refills-x-220-schu-70002981.html?name=Schulke&type=simple&_gl=1*1yofrpb*_up*MQ..*_ga*MTEwMDIwODM2OC4xNzQ0MTQxNTkw*_ga_0T1NKWVSZ2*MTc0NDE0MTU5MC4xLjEuMTc0NDE0MTY1Ni4wLjAuMA..,,£9.80,29.6%,https://www.dentalsky.com/mikrozid-wipes-plus-tub-220.html,,N/A,N/A,,,£13.25,,https://www.dmi.co.uk/products/mikrozid-alcohol-jumbo-wipes-refills-x-220-schu-70002981.html?name=Schulke&type=simple&_gl=1*1yofrpb*_up*MQ..*_ga*MTEwMDIwODM2OC4xNzQ0MTQxNTkw*_ga_0T1NKWVSZ2*MTc0NDE0MTU5MC4xLjEuMTc0NDE0MTY1Ni4wLjAuMA..
CAW596,UnoDent Surface Disinfectant Wipes Alcohol-free Apple Tub,UnoDent,CAW596,"CLEANING, STERILIZING PRODUCTS",Each,£3.78,£6.69,€7.76,43.5%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
CAW597,UnoDent Surface Disinfectant Wipes Alcohol-free Refill Pack,UnoDent,CAW597,"CLEANING, STERILIZING PRODUCTS",Each,£2.47,£4.50,€5.22,45.1%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
CAW708,Medipal Disinfectant Wipes (Q7W520110MPCE) Tub 240,Medipal,Q7W520110MPCE,"CLEANING, STERILIZING PRODUCTS",Tub (240),£2.37,£5.85,€6.79,59.5%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
CAW751,Kerr CaviWipes Canister (4731160) - Tub160,Kerr,4731160,"CLEANING, STERILIZING PRODUCTS",Tub (160),£5.65,£8.11,€9.41,30.3%,,€10.26,-8.3%,https://www.dmi.ie/products/kerr-caviwipes-tub-pk160-tub-pk160-15-24-x-17-15cm-kerr-4731160.html?name=Kerr%20CaviWipes&type=simple&_gl=1*1whf46h*_up*MQ..*_ga*MjEwNTY3MDMxMS4xNzQ0MTI0OTcw*_ga_0T1NKWVSZ2*MTc0NDEyNDk3MC4xLjAuMTc0NDEyNDk3MC4wLjAuMA..,,£7.95,2.0%,https://www.dentalsky.com/caviwipestm-cannister-160.html,,€5.71,,https://www.dontalia.com/caviwipes-towelettes.html,,£8.59,,https://www.dmi.co.uk/products/kerr-caviwipes-tub-pk160-tub-pk160-15-24-x-17-15cm-kerr-4731160.html?name=Kerr%20CaviWipes&type=simple&_gl=1*1whf46h*_up*MQ..*_ga*MjEwNTY3MDMxMS4xNzQ0MTI0OTcw*_ga_0T1NKWVSZ2*MTc0NDEyNDk3MC4xLjAuMTc0NDEyNDk3MC4wLjAuMA..
CAW757,Clinell Universal Disinfectant Wipes Refill 250mm x 200mm,Clinell,CWTUB100R,"CLEANING, STERILIZING PRODUCTS",Pack (100),£1.82,£3.65,€4.23,50.2%,,€10.69,-60.4%,https://www.dmi.ie/products/clinell-hand-surface-universal-disinfection-wipes-pack-200-gama-bcw200.html?name=Clinell%20&type=simple&_gl=1*hlc4x5*_up*MQ..*_ga*MTA2MDQwNTY2OC4xNzQ0MDUzOTU5*_ga_0T1NKWVSZ2*MTc0NDA1Mzk1OS4xLjEuMTc0NDA1NDA5NC4wLjAuMA..,,£5.60,-34.8%,https://www.dentalsky.com/clinell-universal-wipes-pack-200.html,,N/A,,,,£8.95,,https://www.dmi.co.uk/products/clinell-hand-surface-universal-disinfection-wipes-pack-200-gama-bcw200.html?name=Clinell%20&type=simple&_gl=1*hlc4x5*_up*MQ..*_ga*MTA2MDQwNTY2OC4xNzQ0MDUzOTU5*_ga_0T1NKWVSZ2*MTc0NDA1Mzk1OS4xLjEuMTc0NDA1NDA5NC4wLjAuMA..
CAW759,Clinell Universal Disinfectant Spray (CDS500) - 500ml,Clinell,CDS500,"CLEANING, STERILIZING PRODUCTS",Each,£1.75,£3.40,€3.94,48.5%,,N/A,N/A,,,£4.80,-29.2%,https://www.dentalsky.com/clinell-universal-disinfectant-spray-500ml.html,,N/A,,,,N/A,,
CAW767,Clinell Universal Wipes Heavy Duty (BCW100) - Pack100,Clinell,BCW100,"CLEANING, STERILIZING PRODUCTS",Pack (100),£2.96,£4.73,€5.49,37.4%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
CCA205,Cottontails Round Cotton Wool Cosmetic Remover Pads -Pack200,Robinson,1124,"COTTON, PAPER PRODUCTS",Pack (200),£1.46,£1.95,€2.26,25.0%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
CGD156,Meditrade Gentle Skin Compact+ Latex Gloves P/Free X-Small,Meditrade,1221XSI,"APRONS, BIBS & GLOVES",Box (100),£2.58,£4.00,€4.64,35.5%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
CGD167,Meditrade Gentle Skin Compact+ Latex Gloves P/Free Small,Meditrade,1221SI,"APRONS, BIBS & GLOVES",Box (100),£2.58,£4.00,€4.64,35.5%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
CGD178,Meditrade Gentle Skin Compact+ Latex Gloves P/Free Medium,Meditrade,1221MI,"APRONS, BIBS & GLOVES",Box (100),£2.45,£4.00,€4.64,38.8%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
CHM076,Meditrade Suavel Protec Plus Type IIR Surgical Mask Ear Loop,Meditrade,80-957,"COTTON, PAPER PRODUCTS",Each,£1.99,£2.55,€2.96,21.9%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
CHM078,Meditrade Suavel Protec Type IIR Face Masks 3ply Ear Loop,Meditrade,80-902,"COTTON, PAPER PRODUCTS",Box (50),£1.29,£2.88,€3.34,55.2%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
CJT062,UnoDent Disposable Aspirator Tips - Child 16mm Yellow,UnoDent,CJT062,SALIVA EJECTORS,Pack (50),£2.68,£6.02,€6.98,55.5%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
CJU000,UnoDent Disposable Aspirator Tube White 135x11mm - Pack100,UnoDent,CJU000,SALIVA EJECTORS,Pack (100),£0.92,£2.04,€2.37,54.9%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
CJU001,UnoDent Disposable Aspirator Tube Blue 135x11mm - Pack100,UnoDent,CJU001,SALIVA EJECTORS,Pack (100),£0.90,£2.75,€3.19,67.3%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
CJU010,UnoDent Disposable Aspirator Tube Vented White - Pack100,UnoDent,CJU010,SALIVA EJECTORS,Pack (100),£1.17,£2.37,€2.75,50.6%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
COP495,Hygitech Saliva Ejectors with Removable Tips Blue (ME-3054),Hygitech,ME-3054,MISCELLANEOUS,Box (100),£1.74,£3.52,€4.08,50.6%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
CPP024,Johnson & Johnson Topper 12 Swabs 5cmx5cm (M53605N) -Pack200,Johnson & Johnson,M53605N,"COTTON, PAPER PRODUCTS",Pack (200),£1.11,£4.85,€5.63,77.1%,,N/A,N/A,,,£6.75,-28.1%,https://www.dentalsky.com/topper-12-swabs-5-x-5cm.html,,N/A,,,,N/A,,
CPP043,Johnson & Johnson Topper 12 Swabs 7.5x7.5cm M50607 -Pack100,Johnson & Johnson,M50607,"COTTON, PAPER PRODUCTS",Pack (100),£2.15,£5.71,€6.62,62.3%,,€5.42,22.2%,https://www.dmi.ie/products/johnson-johnson-topper-12-non-sterile-swabs-100pk-7-5-x-7-5cm-topp-m50607.html?name=Topper%20&type=simple&_gl=1*115543b*_up*MQ..*_ga*ODIwNDE3ODY3LjE3NDQwNTc0NDE.*_ga_0T1NKWVSZ2*MTc0NDExNjYxMi4yLjEuMTc0NDExODQ2MC4wLjAuMA..,,£8.60,-33.6%,https://www.dentalsky.com/topper-12-swabs-7-5-x-7-5cm.html,,N/A,,,,£4.54,,https://www.dmi.co.uk/products/johnson-johnson-topper-12-non-sterile-swabs-100pk-7-5-x-7-5cm-topp-m50607.html?name=Topper%20&type=simple&_gl=1*115543b*_up*MQ..*_ga*ODIwNDE3ODY3LjE3NDQwNTc0NDE.*_ga_0T1NKWVSZ2*MTc0NDExNjYxMi4yLjEuMTc0NDExODQ2MC4wLjAuMA..
CPP053,Johnson & Johnson Topper 8 Swabs 10X10cm (M50410) - Pack100,Johnson & Johnson,M50410,"COTTON, PAPER PRODUCTS",Pack (100),£3.24,£5.59,€6.48,42.0%,,€10.87,-40.3%,https://www.dmi.ie/products/johnson-johnson-topper-8-non-sterile-swabs-100pk-10-x-10cm-top-m50410.html?name=Topper%20&type=simple&_gl=1*2fzs28*_up*MQ..*_ga*MzI4NzQ0ODA0LjE3NDQxMTg5MTU.*_ga_0T1NKWVSZ2*MTc0NDExODkxNS4xLjAuMTc0NDExODkxNS4wLjAuMA..,,N/A,N/A,,,N/A,,,,£9.10,,https://www.dmi.co.uk/products/johnson-johnson-topper-8-non-sterile-swabs-100pk-10-x-10cm-top-m50410.html?name=Topper%20&type=simple&_gl=1*2fzs28*_up*MQ..*_ga*MzI4NzQ0ODA0LjE3NDQxMTg5MTU.*_ga_0T1NKWVSZ2*MTc0NDExODkxNS4xLjAuMTc0NDExODkxNS4wLjAuMA..
CPP070,Johnson & Johnson Topper 8 Swabs 5x5cm (JJM50405) - Pack100,Johnson & Johnson,504526,"COTTON, PAPER PRODUCTS",Pack (100),£2.09,£3.23,€3.75,35.3%,,€4.85,-22.7%,https://www.dmi.ie/products/johnson-johnson-topper-8-non-sterile-swabs-100pk-5-x-5cm-top-m50405.html?name=Topper%20&type=simple&_gl=1*tgrf*_up*MQ..*_ga*MzI4NzQ0ODA0LjE3NDQxMTg5MTU.*_ga_0T1NKWVSZ2*MTc0NDExODkxNS4xLjAuMTc0NDExODkxNS4wLjAuMA..,,£4.35,-25.7%,https://www.dentalsky.com/topper-8-swabs-5-x-5cm-nu-gauze.html,,N/A,,,,£4.06,,https://www.dmi.co.uk/products/johnson-johnson-topper-8-non-sterile-swabs-100pk-5-x-5cm-top-m50405.html?name=Topper%20&type=simple&_gl=1*tgrf*_up*MQ..*_ga*MzI4NzQ0ODA0LjE3NDQxMTg5MTU.*_ga_0T1NKWVSZ2*MTc0NDExODkxNS4xLjAuMTc0NDExODkxNS4wLjAuMA..
CPP073,UnoDent Cotton Wool Rolls No.2 (CCA105) - Box1000,UnoDent,CCA105,"COTTON, PAPER PRODUCTS",Box (1000),£3.29,£5.99,€6.95,45.1%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
CPP074,UnoDent Throat Pack Roll 10m (CCT615) - Each,UnoDent,CCT615,"COTTON, PAPER PRODUCTS",Each,£3.05,£5.91,€6.86,48.4%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
CPP092,Universal Alcotip Pre-injection Swabs - Box100,Robinson Healthcare,5885,"COTTON, PAPER PRODUCTS",Box (100),£0.52,£1.44,€1.67,63.9%,,N/A,N/A,,,£1.25,15.2%,https://www.dentalsky.com/robinson-fast-aid-ipa-alcohol-pre-injection-swabs-100.html,,N/A,,,,N/A,,
CPP096,Perfection Plus Protect+ Blue Ear Loop Masks (002/0048) - 50,Perfection Plus,002/0048,"COTTON, PAPER PRODUCTS",Box (50),£1.95,£4.16,€4.83,53.1%,,€7.52,-35.8%,https://www.dmi.ie/products/protect-medical-face-masks-3-ply-ear-loop-type-iir-blue-box-50-perf-0020048.html?_gl=1*6vaoi0*_up*MQ..*_ga*MTU2MjczOTY3OC4xNzQ0MTYwMzEy*_ga_0T1NKWVSZ2*MTc0NDE2MDMxMi4xLjEuMTc0NDE2MDQxNi4wLjAuMA..,,N/A,N/A,,,N/A,N/A,,,£6.30,,https://www.dmi.co.uk/products/protect-medical-face-masks-3-ply-ear-loop-type-iir-blue-box-50-perf-0020048.html?_gl=1*6vaoi0*_up*MQ..*_ga*MTU2MjczOTY3OC4xNzQ0MTYwMzEy*_ga_0T1NKWVSZ2*MTc0NDE2MDMxMi4xLjEuMTc0NDE2MDQxNi4wLjAuMA..
CSP005,Milton Sterilising Fluid 500ml - Each,Milton,13361370037510,"CLEANING, STERILIZING PRODUCTS",Each,£1.37,£4.16,€4.83,67.1%,,€5.36,-10.0%,https://www.dmi.ie/products/milton-disinfecting-fluid-500ml-riva-0001.html?name=Milton%20&type=simple,,N/A,N/A,,,N/A,,,,£4.49,,https://www.dmi.co.uk/products/milton-disinfecting-fluid-500ml-riva-0001.html?name=Milton%20&type=simple
CSP043,Durr Orotol Plus 2.5Litre - Each (CDS110P6150),DURR,CDS110P6150,"CLEANING, STERILIZING PRODUCTS",Each,£33.41,£59.41,€68.92,43.8%,,€70.72,-2.6%,https://www.dmi.ie/products/durr-orotol-plus-2-5l-durr-cds110p6150.html?_gl=1*1g5m7cb*_up*MQ..*_ga*MTMzOTUzMzI0MS4xNzQ0MDQ2MTE0*_ga_0T1NKWVSZ2*MTc0NDA0NjExNC4xLjEuMTc0NDA0NjQ1Ny4wLjAuMA..,,£41.25,44.0%,https://www.dentalsky.com/orotol-plus-2-5-litres.html,,€36.39,,https://www.dontalia.com/orotol-plus-en-14476-25l,,£59.21,,https://www.dmi.co.uk/products/durr-orotol-plus-2-5l-durr-cds110p6150.html?_gl=1*1g5m7cb*_up*MQ..*_ga*MTMzOTUzMzI0MS4xNzQ0MDQ2MTE0*_ga_0T1NKWVSZ2*MTc0NDA0NjExNC4xLjEuMTc0NDA0NjQ1Ny4wLjAuMA..
CSP129,A-dec ICX Tablets 2Litre (90.1065.01) - Box50,ADEC,90.1065.01,"CLEANING, STERILIZING PRODUCTS",Box (50),£45.07,£84.41,€97.92,46.6%,,N/A,N/A,,,£79.95,5.6%,https://www.dentalsky.com/icx-waterline-treatment-tablets-0-2-litres-50-adec.html,,N/A,,,,N/A,,
CSP149A,Schulke Mikrozid Alcohol Free Wipes Refill (70003112) -Pk200,Schulke,70003112,"CLEANING, STERILIZING PRODUCTS",Pack (200),£6.43,£11.52,€13.36,44.2%,,€14,-4.5%,https://www.dmi.ie/products/schulke-mikrozid-wipes-jumbo-alcohol-free-refill-200pk-schu-70001449.html?name=Schulke&type=simple&_gl=1*1g5wgw1*_up*MQ..*_ga*MTEwMDIwODM2OC4xNzQ0MTQxNTkw*_ga_0T1NKWVSZ2*MTc0NDE0MTU5MC4xLjEuMTc0NDE0MTY1Ni4wLjAuMA..,,£9.80,17.6%,https://www.dentalsky.com/mikrozid-alcohol-free-wipes-tub-200.html,,N/A,N/A,,,£11.72,,https://www.dmi.co.uk/products/schulke-mikrozid-wipes-jumbo-alcohol-free-refill-200pk-schu-70001449.html?name=Schulke&type=simple&_gl=1*1g5wgw1*_up*MQ..*_ga*MTEwMDIwODM2OC4xNzQ0MTQxNTkw*_ga_0T1NKWVSZ2*MTc0NDE0MTU5MC4xLjEuMTc0NDE0MTY1Ni4wLjAuMA..
CSP161,Bossklein Hard Surface Spray Lemon 500ml (BOS9782) - Each,Bossklein,BOS9782,"CLEANING, STERILIZING PRODUCTS",Each,£2.43,£3.47,€4.03,30.0%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
CSP165,Bossklein Max V-Wipes Lemon Refill (BOS9784) - Pack200,Bossklein,BOS9784,"CLEANING, STERILIZING PRODUCTS",Pack (200),£5.00,£7.14,€8.28,30.0%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
CSP167,Bossklein Daily Aspirator Cleaner & Disinfectant 5L BOS2488,Bossklein,BOS2488,"CLEANING, STERILIZING PRODUCTS",Each,£18.00,£27.93,€32.40,35.6%,,N/A,N/A,,,£36.95,-24.4%,https://www.dentalsky.com/bossklein-dailyasp-aspirator-cleaner-and-disinfectant-5-litre-refill.html,,N/A,,,,N/A,,
CSP219,Clinell Universal Sanitising Wipe (CW200) - Pack200,Clinell,CW200,"CLEANING, STERILIZING PRODUCTS",Pack (200),£3.86,£6.41,€7.44,39.8%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
CSP230,UnoDent Disinfectant Surface Wipes Refill Jumbo (CAW585)-200,UnoDent,CAW585,"CLEANING, STERILIZING PRODUCTS",Pack (200),£4.32,£5.81,€6.74,25.6%,,€10.69,-37.0%,https://www.dmi.ie/products/jumbo-alcohol-surface-disinfectant-wipes-x-200-refill-uno-caw585.html?name=UnoDent&type=simple&_gl=1*12sl411*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3OTQwMy4wLjAuMA..,,N/A,N/A,,,N/A,N/A,,,£8.95,,https://www.dmi.co.uk/products/jumbo-alcohol-surface-disinfectant-wipes-x-200-refill-uno-caw585.html?name=UnoDent&type=simple&_gl=1*12sl411*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3OTQwMy4wLjAuMA..
CSP248,UnoDent Enzymatic Ultrasonic Concentrate 5Litre (GUC005),UnoDent,GUC005,"CLEANING, STERILIZING PRODUCTS",Each,£10.45,£35.65,€41.35,70.7%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
CSP272,UnoDent UnoWipes Refill (CAW566) - Pack200,UnoDent,CAW566,"CLEANING, STERILIZING PRODUCTS",Pack (200),£3.26,£5.20,€6.03,37.3%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
CSP327,Bossklein V-WIPE ZERO Refill Alcohol Free Large (BOS2001),Bossklein,BOS2001,"CLEANING, STERILIZING PRODUCTS",Each,£3.75,£5.36,€6.22,30.0%,,€7.11,-12.6%,https://www.dmi.ie/products/v-wipe-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-bos-2001.html?name=Bossklein&type=simple&_gl=1*19t7j7i*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDAzOTA1MS4xLjEuMTc0NDA0MDUxMy4wLjAuMA..,,£5.45,-1.7%,https://www.dentalsky.com/bossklein-v-wipe-zero-refill-apple-200.html,,N/A,,,,£6.75,,https://www.dmi.co.uk/products/v-wipe-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-bos-2001.html?name=Bossklein&type=simple&_gl=1*19t7j7i*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDAzOTA1MS4xLjEuMTc0NDA0MDUxMy4wLjAuMA..
CSP340,Bossklein IDactiv Instrument Disinfectant 2.5L (BOS9843),Bossklein,BOS9843,"CLEANING, STERILIZING PRODUCTS",Each,£15.70,£22.43,€26.02,30.0%,,€33.92,-23.3%,https://www.dmi.ie/products/idactive-instrument-disinfectant-2-5-litre-bos-9843.html?name=Bossklein&type=simple&_gl=1*1xjsx6j*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDAzOTA1MS4xLjEuMTc0NDA0MDUxMy4wLjAuMA..,,£31.45,-28.7%,https://www.dentalsky.com/bossklein-idactiv-instrument-disinfectant-2-5-litre-with-dosing-cap.html,,N/A,,,,£28.40,,https://www.dmi.co.uk/products/idactive-instrument-disinfectant-2-5-litre-bos-9843.html?name=Bossklein&type=simple&_gl=1*1xjsx6j*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDAzOTA1MS4xLjEuMTc0NDA0MDUxMy4wLjAuMA..
CSR008,UnoDent Steel Bur RA Round No.8 (BLC8)  - Pack25,UnoDent,BLC8,ENDODONTICS & ACCESSORIES,Pack (25),£6.32,£14.27,€16.55,55.7%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
DTW312,UnoDent Tweezers College Type Angled - Each,UnoDent,DTW312,INSTRUMENTS & ACCESSORIES,Each,£0.97,£3.37,€3.91,71.2%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
DWG005,Dentsply WaveOne Gold Primary File 25mm (A0753225G0P03),Dentsply,A0753225G0P03,ENDODONTICS & ACCESSORIES,Pack (3),£33.48,£50.99,€59.15,34.3%,,€67.64,-12.6%,https://www.dmi.ie/products/dentsply-sirona-waveone-gold-primary-file-3pk-25mm-dent-a0753225g0p03.html?name=Dentsply%20WaveOne&type=simple&_gl=1*9d9csa*_up*MQ..*_ga*NDkzNzA1NjUxLjE3NDQwNTI3MDI.*_ga_0T1NKWVSZ2*MTc0NDA1MjcwMS4xLjEuMTc0NDA1Mjc1Ny4wLjAuMA..,,£46.35,10.0%,https://www.dentalsky.com/dentsply-waveone-gold-primary-25mm-3.html,,€78.99,,,,£56.63,,https://www.dmi.co.uk/products/dentsply-sirona-waveone-gold-primary-file-3pk-25mm-dent-a0753225g0p03.html?name=Dentsply%20WaveOne&type=simple&_gl=1*9d9csa*_up*MQ..*_ga*NDkzNzA1NjUxLjE3NDQwNTI3MDI.*_ga_0T1NKWVSZ2*MTc0NDA1MjcwMS4xLjEuMTc0NDA1Mjc1Ny4wLjAuMA..
EGU201,UnoDent SS K File 21mm Size 10 - Pack6,UnoDent,EGU201,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.38,€3.92,75.4%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
EGU211,UnoDent SS K File 25mm Size 8 - Pack6,UnoDent,EGU211,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.32,€3.85,75.0%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
EGU212,UnoDent SS K File 25mm Size 10 - Pack6,UnoDent,EGU212,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.32,€3.85,75.0%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
EGU213,UnoDent SS K File 25mm Size 15 - Pack6,UnoDent,EGU213,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.32,€3.85,75.0%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
EGU214,UnoDent SS K File 25mm Size 20 - Pack6,UnoDent,EGU214,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.32,€3.85,75.0%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
EGU215,UnoDent SS K File 25mm Size 25 - Pack6,UnoDent,EGU215,ENDODONTICS & ACCESSORIES,Pack (6),£0.81,£3.32,€3.85,75.6%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
EGU216,UnoDent SS K File 25mm Size 30 - Pack6,UnoDent,EGU216,ENDODONTICS & ACCESSORIES,Pack (6),£0.81,£3.32,€3.85,75.6%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
EGU217,UnoDent SS K File 25mm Size 35 - Pack6,UnoDent,EGU217,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.34,€3.87,75.1%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
EGU218,UnoDent SS K File 25mm Size 40 - Pack6,UnoDent,EGU218,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.32,€3.85,75.0%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
EGU359,UnoDent SS H File (Hedstrom) 25mm Size 15 - Pack6,UnoDent,EGU359,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.19,€3.70,74.0%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
EHO018,Bossklein Universal Handpiece Oil Spray 500ml (BOS9777) Each,Bossklein,BOS9777,EQS - Equipment Sundries,Each,£2.10,£4.63,€5.37,54.6%,,N/A,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
EHO027,UnoDent Unolube Universal Spray 500ml (GOU100) - Each,UnoDent,GOU100,EQS - Equipment Sundries,Each,£3.14,£11.08,€12.85,71.7%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
EIM038,Perfection Plus Tray Lining Paper Blue (PP002/0012B),Perfection Plus,PP002/0012B,INSTRUMENTS & ACCESSORIES,Pack (250),£3.40,£5.00,€5.80,32.0%,,€8.32,-30.3%,https://www.dmi.ie/products/perfection-plus-tray-paper-250pk-blue-perf-0020012b.html,,N/A,N/A,,,N/A,N/A,,,£6.97,,https://www.dmi.co.uk/products/perfection-plus-tray-paper-250pk-blue-perf-0020012b.html
EIM041,Perfection Plus Tray Lining Paper Pink (PP002/0012P),Perfection Plus,PP002/0012P,INSTRUMENTS & ACCESSORIES,Pack (250),£3.40,£5.00,€5.80,32.0%,,€8.32,-30.3%,https://www.dmi.ie/products/perfection-plus-tray-paper-250pk-pink-perf-0020012p.html?_gl=1*sz008s*_up*MQ..*_ga*MTU2MjczOTY3OC4xNzQ0MTYwMzEy*_ga_0T1NKWVSZ2*MTc0NDE2MDMxMi4xLjAuMTc0NDE2MDMxMi4wLjAuMA..,,N/A,N/A,,,N/A,N/A,,,£6.97,,https://www.dmi.co.uk/products/perfection-plus-tray-paper-250pk-pink-perf-0020012p.html?_gl=1*sz008s*_up*MQ..*_ga*MTU2MjczOTY3OC4xNzQ0MTYwMzEy*_ga_0T1NKWVSZ2*MTc0NDE2MDMxMi4xLjAuMTc0NDE2MDMxMi4wLjAuMA..
EIM043,"UnoDent Tray Lining Paper 11""x7"" (CUD060) - Pack250",UnoDent,CUD060,INSTRUMENTS & ACCESSORIES,Pack (250),£2.40,£6.32,€7.33,62.0%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
EIM054,UnoDent Disposable Tray Liner Green (CUD002) - Pack50,UnoDent,CUD002,INSTRUMENTS & ACCESSORIES,Pack (50),£2.21,£6.34,€7.35,65.1%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
ELU606,UnoDent UnoOne Reciprocating File Primary 3-file 25mm 25,UnoDent,ELU606,ENDODONTICS & ACCESSORIES,Pack (3),£5.82,£16.88,€19.58,65.5%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
ELU659,UnoDent UnoTaper Rotary File Sterile S1 25mm - Pack6,UnoDent,ELU659,ENDODONTICS & ACCESSORIES,Pack (6),£6.74,£21.72,€25.20,69.0%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
ELU661,UnoDent UnoTaper Rotary File Sterile F1 25mm - Pack6,UnoDent,ELU661,ENDODONTICS & ACCESSORIES,Pack (6),£6.56,£21.72,€25.20,69.8%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
ELU666,UnoDent UnoTaper Rotary File Sterile Assorted SX/F3 25mm,UnoDent,ELU666,ENDODONTICS & ACCESSORIES,Pack (6),£6.60,£21.93,€25.44,69.9%,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,,,N/A,,
